CdS,Coorte,Genere,Voto_test,Crediti_convoto,Crediti_totali,Voto_medio,Scuola_provenienza,Esame_Matematica,Voto_Matematica,Crediti_Matematica
CdS1,2010,M,22.00,27,57,24,LC,EsameMatematica,20,12
CdS1,2010,M,17.00,9,9,24,LS,EsameMatematica,20,12
CdS1,2010,F,13.00,21,30,20,LS,EsameMatematica,25,12
CdS1,2010,F,19.00,39,51,26,LS,EsameMatematica,30,12
CdS1,2010,F,17.00,45,54,23,TC,EsameMatematica,24,12
CdS1,2010,F,22.00,57,69,28,LS,EsameMatematica,27,12
CdS1,2010,F,18.00,57,66,26,LS,EsameMatematica,23,12
CdS1,2010,M,22.00,57,69,30,LS,EsameMatematica,29,12
CdS1,2010,F,21.00,39,72,24,LS,EsameMatematica,26,12
CdS1,2010,M,16.00,33,45,21,LS,EsameMatematica,19,12
CdS1,2010,F,19.00,21,21,22,LC,,,
CdS1,2010,M,20.00,33,42,24,LS,EsameMatematica,21,12
CdS1,2010,M,25.00,57,69,30,LS,EsameMatematica,31,12
CdS1,2010,M,18.00,33,60,20,IT,,,
CdS1,2010,F,24.00,21,39,22,LS,EsameMatematica,25,12
CdS1,2010,F,19.00,45,54,21,LS,EsameMatematica,21,12
CdS1,2010,F,22.00,57,69,29,LS,EsameMatematica,30,12
CdS1,2010,M,13.00,15,24,24,IT,,,
CdS1,2010,M,21.00,57,69,25,LS,EsameMatematica,21,12
CdS1,2010,M,23.00,57,66,27,LS,EsameMatematica,27,12
CdS1,2010,M,20.00,57,69,28,LS,EsameMatematica,26,12
CdS1,2010,M,16.00,42,51,24,LS,EsameMatematica,20,12
CdS1,2010,M,12.00,3,3,22,IT,,,
CdS1,2010,M,18.00,57,66,27,IT,EsameMatematica,26,12
CdS1,2010,M,23.00,45,57,24,LS,EsameMatematica,20,12
CdS1,2010,F,23.00,12,12,29,LS,,,
CdS1,2010,M,20.00,57,69,28,LS,EsameMatematica,26,12
CdS1,2010,F,15.00,45,57,23,LC,EsameMatematica,22,12
CdS1,2010,M,20.00,57,69,30,LC,EsameMatematica,31,12
CdS1,2010,F,21.00,57,66,28,LS,EsameMatematica,25,12
CdS1,2010,M,19.00,57,69,22,LS,EsameMatematica,22,12
CdS1,2010,M,18.00,30,42,20,LC,EsameMatematica,20,12
CdS1,2010,M,18.00,9,18,24,LS,,,
CdS1,2010,M,25.00,57,69,30,LS,EsameMatematica,30,12
CdS1,2010,F,16.00,6,6,24,LS,,,
CdS1,2010,F,19.00,45,57,23,LS,EsameMatematica,21,12
CdS1,2010,M,15.00,21,33,24,LC,EsameMatematica,22,12
CdS1,2010,F,21.00,57,66,23,LS,EsameMatematica,24,12
CdS1,2010,M,16.00,33,45,21,LS,EsameMatematica,27,12
CdS1,2010,M,24.00,57,69,30,LS,EsameMatematica,30,12
CdS1,2010,M,24.00,57,69,28,LS,EsameMatematica,25,12
CdS1,2010,F,9.00,0,3,0,AL,,,
CdS1,2010,M,24.00,57,66,28,LS,EsameMatematica,26,12
CdS1,2010,M,16.00,3,3,25,IT,,,
CdS1,2010,M,20.00,12,21,21,LS,EsameMatematica,24,12
CdS1,2010,M,24.00,51,69,24,LS,EsameMatematica,23,12
CdS1,2010,M,13.00,9,9,26,TC,,,
CdS1,2010,M,19.00,45,57,26,LS,EsameMatematica,27,12
CdS1,2010,M,22.00,57,69,25,LS,EsameMatematica,22,12
CdS1,2010,M,22.00,45,54,20,LS,EsameMatematica,23,12
CdS1,2010,M,21.00,54,63,23,LS,EsameMatematica,18,12
CdS1,2010,M,18.00,27,30,24,LS,EsameMatematica,30,12
CdS1,2010,F,18.00,21,30,23,LC,EsameMatematica,21,12
CdS1,2010,F,12.00,6,10,25,LS,,,
CdS1,2010,M,10.00,0,3,0,TC,,,
CdS1,2010,M,22.00,57,69,28,LS,EsameMatematica,23,12
CdS1,2010,F,18.00,45,57,26,LS,EsameMatematica,19,12
CdS1,2010,M,19.00,57,69,26,LS,EsameMatematica,24,12
CdS1,2010,M,18.00,42,51,21,LS,EsameMatematica,22,12
CdS1,2010,F,12.00,3,6,20,LS,,,
CdS1,2010,F,4.00,0,3,0,TC,,,
CdS1,2010,M,25.00,57,69,28,LS,EsameMatematica,28,12
CdS1,2010,M,7.00,6,6,24,TC,,,
CdS1,2011,M,18.00,21,21,21,LS,EsameMatematica,21,12
CdS1,2011,M,20.00,57,60,25,LS,EsameMatematica,26,12
CdS1,2011,M,15.00,57,60,24,LC,EsameMatematica,29,12
CdS1,2011,F,22.00,45,48,26,LS,EsameMatematica,30,12
CdS1,2011,F,12.00,30,33,24,,EsameMatematica,27,12
CdS1,2011,M,16.00,45,93,28,IT,EsameMatematica,30,12
CdS1,2011,F,19.00,45,48,25,LS,EsameMatematica,24,12
CdS1,2011,M,22.00,57,60,29,LS,EsameMatematica,30,12
CdS1,2011,M,22.00,57,60,29,LS,EsameMatematica,29,12
CdS1,2011,M,15.00,45,45,27,LS,EsameMatematica,31,12
CdS1,2011,M,18.00,57,60,26,IT,EsameMatematica,30,12
CdS1,2011,M,23.00,57,60,30,LS,EsameMatematica,29,12
CdS1,2011,F,17.00,39,42,26,LS,EsameMatematica,24,12
CdS1,2011,M,24.00,57,60,31,LS,EsameMatematica,31,12
CdS1,2011,M,16.00,27,30,22,IT,EsameMatematica,21,12
CdS1,2011,M,23.00,39,42,28,IT,EsameMatematica,30,12
CdS1,2011,M,16.00,24,27,20,LS,EsameMatematica,18,12
CdS1,2011,M,21.00,12,15,20,LS,EsameMatematica,20,12
CdS1,2011,F,10.00,18,18,21,LS,EsameMatematica,19,12
CdS1,2011,F,15.00,57,60,25,AL,EsameMatematica,24,12
CdS1,2011,M,23.00,51,54,24,LS,EsameMatematica,26,12
CdS1,2011,F,21.00,45,48,26,LS,EsameMatematica,29,12
CdS1,2011,M,23.00,57,57,26,LS,EsameMatematica,31,12
CdS1,2011,M,25.00,57,60,28,LS,EsameMatematica,31,12
CdS1,2011,F,24.00,57,60,29,LC,EsameMatematica,31,12
CdS1,2011,F,25.00,45,48,28,LS,EsameMatematica,27,12
CdS1,2011,M,17.00,57,60,24,LS,EsameMatematica,22,12
CdS1,2011,M,19.00,45,45,25,LS,EsameMatematica,30,12
CdS1,2011,M,12.00,12,12,26,LS,EsameMatematica,23,12
CdS1,2011,M,24.00,57,60,29,LC,EsameMatematica,30,12
CdS1,2011,F,23.00,57,60,27,LS,EsameMatematica,28,12
CdS1,2011,M,16.00,39,42,25,LC,EsameMatematica,23,12
CdS1,2011,M,21.00,18,18,20,LS,EsameMatematica,21,12
CdS1,2011,M,16.00,57,60,23,LC,EsameMatematica,21,12
CdS1,2011,F,18.00,57,57,25,LS,EsameMatematica,30,12
CdS1,2011,F,15.00,39,42,21,LC,EsameMatematica,20,12
CdS1,2011,M,17.00,12,12,28,IT,EsameMatematica,21,12
CdS1,2011,M,25.00,57,60,28,LS,EsameMatematica,31,12
CdS1,2011,M,19.00,57,57,26,LS,EsameMatematica,25,12
CdS1,2011,F,16.00,45,45,27,LS,EsameMatematica,25,12
CdS1,2011,M,23.00,57,60,27,LS,EsameMatematica,28,12
CdS1,2011,M,22.00,57,60,26,LS,EsameMatematica,28,12
CdS1,2011,M,16.00,0,3,0,LS,,,
CdS1,2011,F,13.00,0,3,0,AL,,,
CdS1,2011,F,13.00,0,3,0,XX,,,
CdS1,2011,M,16.00,6,27,24,TC,EsameMatematica,20,12
CdS1,2011,M,16.00,30,33,25,LS,EsameMatematica,31,12
CdS1,2011,M,21.00,57,60,27,LS,EsameMatematica,30,12
CdS1,2011,M,16.00,33,36,22,LS,EsameMatematica,22,12
CdS1,2011,F,13.00,36,51,26,LC,EsameMatematica,25,12
CdS1,2011,F,13.00,36,51,26,LC,MATEMATICA I,0,9
CdS1,2011,M,17.00,57,57,23,AL,EsameMatematica,22,12
