@relation dataset_preprocessed-weka.filters.unsupervised.attribute.NumericToNominal-R2

@attribute CdS {CdS1,CdS2,CdS3}
@attribute Coorte {2010,2011,2012,2013,2014,2015,2016}
@attribute Genere {M,F}
@attribute Voto_test numeric
@attribute Crediti_convoto numeric
@attribute Crediti_totali numeric
@attribute Voto_medio numeric
@attribute Scuola_provenienza {LC,LS,TC,IT,Altro,IP}
@attribute Esame_Matematica {EsameMatematica,'Non superato'}
@attribute Voto_Matematica numeric

@data
CdS1,2010,M,0.88,27,57,24,LC,EsameMatematica,20
CdS1,2010,M,0.68,9,9,24,LS,EsameMatematica,20
CdS1,2010,F,0.52,21,30,20,LS,EsameMatematica,25
CdS1,2010,F,0.76,39,51,26,LS,EsameMatematica,30
CdS1,2010,F,0.68,45,54,23,TC,EsameMatematica,24
CdS1,2010,F,0.88,57,69,28,LS,EsameMatematica,27
CdS1,2010,F,0.72,57,66,26,LS,EsameMatematica,23
CdS1,2010,M,0.88,57,69,30,LS,EsameMatematica,29
CdS1,2010,F,0.84,39,72,24,LS,EsameMatematica,26
CdS1,2010,M,0.64,33,45,21,LS,EsameMatematica,19
CdS1,2010,F,0.76,21,21,22,LC,'Non superato',0
CdS1,2010,M,0.8,33,42,24,LS,EsameMatematica,21
CdS1,2010,M,1,57,69,30,LS,EsameMatematica,31
CdS1,2010,M,0.72,33,60,20,IT,'Non superato',0
CdS1,2010,F,0.96,21,39,22,LS,EsameMatematica,25
CdS1,2010,F,0.76,45,54,21,LS,EsameMatematica,21
CdS1,2010,F,0.88,57,69,29,LS,EsameMatematica,30
CdS1,2010,M,0.52,15,24,24,IT,'Non superato',0
CdS1,2010,M,0.84,57,69,25,LS,EsameMatematica,21
CdS1,2010,M,0.92,57,66,27,LS,EsameMatematica,27
CdS1,2010,M,0.8,57,69,28,LS,EsameMatematica,26
CdS1,2010,M,0.64,42,51,24,LS,EsameMatematica,20
CdS1,2010,M,0.48,3,3,22,IT,'Non superato',0
CdS1,2010,M,0.72,57,66,27,IT,EsameMatematica,26
CdS1,2010,M,0.92,45,57,24,LS,EsameMatematica,20
CdS1,2010,F,0.92,12,12,29,LS,'Non superato',0
CdS1,2010,M,0.8,57,69,28,LS,EsameMatematica,26
CdS1,2010,F,0.6,45,57,23,LC,EsameMatematica,22
CdS1,2010,M,0.8,57,69,30,LC,EsameMatematica,31
CdS1,2010,F,0.84,57,66,28,LS,EsameMatematica,25
CdS1,2010,M,0.76,57,69,22,LS,EsameMatematica,22
CdS1,2010,M,0.72,30,42,20,LC,EsameMatematica,20
CdS1,2010,M,0.72,9,18,24,LS,'Non superato',0
CdS1,2010,M,1,57,69,30,LS,EsameMatematica,30
CdS1,2010,F,0.64,6,6,24,LS,'Non superato',0
CdS1,2010,F,0.76,45,57,23,LS,EsameMatematica,21
CdS1,2010,M,0.6,21,33,24,LC,EsameMatematica,22
CdS1,2010,F,0.84,57,66,23,LS,EsameMatematica,24
CdS1,2010,M,0.64,33,45,21,LS,EsameMatematica,27
CdS1,2010,M,0.96,57,69,30,LS,EsameMatematica,30
CdS1,2010,M,0.96,57,69,28,LS,EsameMatematica,25
CdS1,2010,F,0.36,0,3,0,Altro,'Non superato',0
CdS1,2010,M,0.96,57,66,28,LS,EsameMatematica,26
CdS1,2010,M,0.64,3,3,25,IT,'Non superato',0
CdS1,2010,M,0.8,12,21,21,LS,EsameMatematica,24
CdS1,2010,M,0.96,51,69,24,LS,EsameMatematica,23
CdS1,2010,M,0.52,9,9,26,TC,'Non superato',0
CdS1,2010,M,0.76,45,57,26,LS,EsameMatematica,27
CdS1,2010,M,0.88,57,69,25,LS,EsameMatematica,22
CdS1,2010,M,0.88,45,54,20,LS,EsameMatematica,23
CdS1,2010,M,0.84,54,63,23,LS,EsameMatematica,18
CdS1,2010,M,0.72,27,30,24,LS,EsameMatematica,30
CdS1,2010,F,0.72,21,30,23,LC,EsameMatematica,21
CdS1,2010,F,0.48,6,10,25,LS,'Non superato',0
CdS1,2010,M,0.4,0,3,0,TC,'Non superato',0
CdS1,2010,M,0.88,57,69,28,LS,EsameMatematica,23
CdS1,2010,F,0.72,45,57,26,LS,EsameMatematica,19
CdS1,2010,M,0.76,57,69,26,LS,EsameMatematica,24
CdS1,2010,M,0.72,42,51,21,LS,EsameMatematica,22
CdS1,2010,F,0.48,3,6,20,LS,'Non superato',0
CdS1,2010,F,0.16,0,3,0,TC,'Non superato',0
CdS1,2010,M,1,57,69,28,LS,EsameMatematica,28
CdS1,2010,M,0.28,6,6,24,TC,'Non superato',0
CdS2,2010,M,0.72,0,3,0,TC,'Non superato',0
CdS2,2010,M,0.8,21,24,25,LS,EsameMatematica,23
CdS2,2010,M,0.52,0,3,0,LS,'Non superato',0
CdS2,2010,M,0.4,24,24,25,IT,EsameMatematica,24
CdS2,2010,M,0.68,0,18,0,IT,'Non superato',0
CdS2,2010,M,0,0,12,0,IT,'Non superato',0
CdS2,2010,M,0.6,12,12,26,TC,'Non superato',0
CdS2,2010,F,0.48,0,12,0,LS,EsameMatematica,0
CdS2,2010,M,0.72,36,39,25,LS,EsameMatematica,23
CdS2,2010,M,0.84,57,60,29,IT,EsameMatematica,30
CdS2,2010,M,0.52,12,12,22,TC,EsameMatematica,19
CdS2,2010,F,0.76,57,60,29,LS,EsameMatematica,31
CdS2,2010,M,0.68,45,45,28,IT,EsameMatematica,30
CdS2,2010,M,0.8,24,24,27,IT,'Non superato',0
CdS2,2010,F,0.56,45,48,27,Altro,EsameMatematica,23
CdS2,2010,F,0.56,12,15,22,TC,EsameMatematica,18
CdS2,2010,M,0.6,36,39,24,LC,EsameMatematica,24
CdS2,2010,F,0.72,12,36,30,TC,EsameMatematica,30
CdS2,2010,M,0.64,24,24,25,TC,EsameMatematica,24
CdS2,2010,M,0.72,45,45,29,IT,EsameMatematica,30
CdS2,2010,F,0.68,12,18,25,LS,'Non superato',0
CdS2,2010,M,0.68,57,60,27,IT,EsameMatematica,28
CdS2,2010,F,0.52,36,39,26,IT,EsameMatematica,28
CdS2,2010,F,0.36,12,15,22,LS,'Non superato',0
CdS2,2010,M,0.76,45,48,27,LS,EsameMatematica,30
CdS2,2010,M,0.64,57,60,29,LS,EsameMatematica,28
CdS2,2010,M,0.44,24,24,20,LS,EsameMatematica,19
CdS2,2010,M,0.72,24,24,31,IT,EsameMatematica,30
CdS2,2010,M,0.6,0,3,0,IT,'Non superato',0
CdS2,2010,M,0.88,36,39,27,LS,EsameMatematica,29
CdS2,2010,F,0.44,12,18,18,LS,'Non superato',0
CdS2,2010,M,0.68,9,9,20,LS,EsameMatematica,24
CdS2,2010,M,0.48,12,12,18,IT,EsameMatematica,25
CdS2,2010,M,0.4,12,12,24,IP,EsameMatematica,20
