@relation dataset_preprocessed-weka.filters.unsupervised.attribute.NumericToNominal-R2_clustered

@attribute Instance_number numeric
@attribute CdS {CdS1,CdS2,CdS3}
@attribute Coorte {2010,2011,2012,2013,2014,2015,2016}
@attribute Genere {M,F}
@attribute Voto_test numeric
@attribute Crediti_convoto numeric
@attribute Crediti_totali numeric
@attribute Voto_medio numeric
@attribute Scuola_provenienza {LC,LS,TC,IT,Altro,IP}
@attribute Esame_Matematica {EsameMatematica,'Non superato'}
@attribute Voto_Matematica numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3}

@data
0,CdS1,2010,M,0.969922,-0.201497,1.167127,0.223882,LC,EsameMatematica,0.013485,cluster0
1,CdS1,2010,M,-0.159344,-1.169312,-1.278975,0.223882,LS,EsameMatematica,0.013485,cluster2
2,CdS1,2010,F,-1.062758,-0.524102,-0.208806,-0.247409,LS,EsameMatematica,0.472438,cluster2
3,CdS1,2010,F,0.292362,0.443713,0.861364,0.459528,LS,EsameMatematica,0.93139,cluster0
4,CdS1,2010,F,-0.159344,0.766318,1.014245,0.10606,TC,EsameMatematica,0.380647,cluster0
5,CdS1,2010,F,0.969922,1.411528,1.778652,0.695173,LS,EsameMatematica,0.656018,cluster1
6,CdS1,2010,F,0.066509,1.411528,1.625771,0.459528,LS,EsameMatematica,0.288857,cluster1
7,CdS1,2010,M,0.969922,1.411528,1.778652,0.930819,LS,EsameMatematica,0.839599,cluster1
8,CdS1,2010,F,0.744069,0.443713,1.931534,0.223882,LS,EsameMatematica,0.564228,cluster0
9,CdS1,2010,M,-0.385198,0.121108,0.555601,-0.129586,LS,EsameMatematica,-0.078305,cluster2
10,CdS1,2010,F,0.292362,-0.524102,-0.66745,-0.011763,LC,'Non superato',-1.822323,cluster3
11,CdS1,2010,M,0.518216,0.121108,0.40272,0.223882,LS,EsameMatematica,0.105276,cluster0
12,CdS1,2010,M,1.647482,1.411528,1.778652,0.930819,LS,EsameMatematica,1.02318,cluster1
13,CdS1,2010,M,0.066509,0.121108,1.320008,-0.247409,IT,'Non superato',-1.822323,cluster3
14,CdS1,2010,F,1.421629,-0.524102,0.249839,-0.011763,LS,EsameMatematica,0.472438,cluster2
15,CdS1,2010,F,0.292362,0.766318,1.014245,-0.129586,LS,EsameMatematica,0.105276,cluster0
16,CdS1,2010,F,0.969922,1.411528,1.778652,0.812996,LS,EsameMatematica,0.93139,cluster1
17,CdS1,2010,M,-1.062758,-0.846707,-0.514568,0.223882,IT,'Non superato',-1.822323,cluster3
18,CdS1,2010,M,0.744069,1.411528,1.778652,0.341705,LS,EsameMatematica,0.105276,cluster1
19,CdS1,2010,M,1.195776,1.411528,1.625771,0.577351,LS,EsameMatematica,0.656018,cluster1
20,CdS1,2010,M,0.518216,1.411528,1.778652,0.695173,LS,EsameMatematica,0.564228,cluster1
21,CdS1,2010,M,-0.385198,0.605015,0.861364,0.223882,LS,EsameMatematica,0.013485,cluster0
22,CdS1,2010,M,-1.288611,-1.491917,-1.584738,-0.011763,IT,'Non superato',-1.822323,cluster3
23,CdS1,2010,M,0.066509,1.411528,1.625771,0.577351,IT,EsameMatematica,0.564228,cluster1
24,CdS1,2010,M,1.195776,0.766318,1.167127,0.223882,LS,EsameMatematica,0.013485,cluster0
25,CdS1,2010,F,1.195776,-1.00801,-1.126094,0.812996,LS,'Non superato',-1.822323,cluster3
26,CdS1,2010,M,0.518216,1.411528,1.778652,0.695173,LS,EsameMatematica,0.564228,cluster1
27,CdS1,2010,F,-0.611051,0.766318,1.167127,0.10606,LC,EsameMatematica,0.197066,cluster0
28,CdS1,2010,M,0.518216,1.411528,1.778652,0.930819,LC,EsameMatematica,1.02318,cluster1
